timestamp,mission,mission_stage,sampling,armed,mode,latitude,longitude,altitude_ft,yaw_deg,pitch_deg,roll_deg,groundspeed_mph,airspeed_mph,vertical_speed_fpm,num_satellites,battery_voltage,battery_current,battery_level,esc_rpm_1,esc_rpm_2,esc_rpm_3,esc_rpm_4,esc_rpm_avg,fc1_pressure_hpa,fc2_pressure_hpa,fc1_temp_c,fc2_temp_c,bmp390l_pressure_hpa,bmp390l_temp_c,sht41_temp_c,sht41_humidity_pct,tmp102_temp_c,sdp811_wind_mph,sdp811_wind_mps,sdp811_dp_pa,sdp811_temp_c,tsl2591_full,tsl2591_ir,tsl2591_visible,as7341_ch0,as7341_ch1,as7341_ch2,as7341_ch3,as7341_ch4,as7341_ch5
1776281224.8378973,mission5,Idle,0,0,STABILIZE,26.8066707,-80.2735301,0.5577428,179.21646933192187,-0.7229058246857021,-0.8409832247752791,0.08552602876536548,0.08556215340793133,,15,16.386,0.0,100,,,,,,1020.842529296875,1020.1077880859375,46.45,43.23,1019.2726362484613,32.8055858053267,33.45159075303273,38.08346684977493,,0.0,0.0,0.0,31.18,11097,4330,6767,40305,22130,65535,65535,65535,65535
1776281224.8656175,mission5,Idle,0,0,GUIDED,26.8066707,-80.2735301,0.5577428,179.21646933192187,-0.7229058246857021,-0.8409832247752791,0.08552602876536548,0.08556215340793133,,15,16.386,0.0,100,,,,,,1020.842529296875,1020.1077880859375,46.45,43.23,1019.2726362484613,32.8055858053267,33.45159075303273,38.08346684977493,,0.0,0.0,0.0,31.18,11097,4330,6767,40305,22130,65535,65535,65535,65535
1776281224.893557,mission5,Idle,0,0,GUIDED,26.8066707,-80.2735301,0.5577428,179.21625076582296,-0.7235458882492878,-0.8437305088579142,0.08552602876536548,0.08556215340793133,,15,16.386,0.0,100,,,,,,1020.842529296875,1020.1077880859375,46.45,43.23,1019.2726362484613,32.8055858053267,33.45159075303273,38.08346684977493,,0.0,0.0,0.0,31.175,11097,4330,6767,40305,22130,65535,65535,65535,65535
1776281224.9168386,mission5,Idle,0,0,GUIDED,26.8066707,-80.2735301,0.5577428,179.21625076582296,-0.7235458882492878,-0.8437305088579142,0.08552602876536548,0.08556215340793133,,15,16.386,0.0,100,,,,,,1020.842529296875,1020.1077880859375,46.45,43.23,1019.2726362484613,32.8055858053267,33.45159075303273,38.08346684977493,,0.0,0.0,0.0,31.175,11097,4330,6767,40305,22130,65535,65535,65535,65535
1776281224.9479187,mission5,Idle,0,0,GUIDED,26.8066707,-80.2735301,0.5577428,179.21625076582296,-0.7235458882492878,-0.8437305088579142,0.08552602876536548,0.08556215340793133,,15,16.386,0.0,100,,,,,,1020.842529296875,1020.1077880859375,46.45,43.23,1019.2938442667017,32.81482458952814,33.47829404135196,38.08651865415427,,0.0,0.0,0.0,31.175,11097,4330,6767,40305,22130,65535,65535,65535,65535
1776281224.973092,mission5,Idle,0,0,GUIDED,26.8066707,-80.2735301,0.5577428,179.21685182259498,-0.7240821115715448,-0.8455652688054199,0.08552602876536548,0.08556215340793133,,15,16.386,0.0,100,,,,,,1020.842529296875,1020.1077880859375,46.45,43.23,1019.2938442667017,32.81482458952814,33.47829404135196,38.08651865415427,,0.0,0.0,0.0,31.175,11097,4330,6767,40305,22130,65535,65535,65535,65535
1776281224.9969373,mission5,Idle,0,0,GUIDED,26.8066707,-80.2735301,0.5577428,179.21685182259498,-0.7240821115715448,-0.8455652688054199,0.08552602876536548,0.08556215340793133,,15,16.386,0.0,100,,,,,,1020.842529296875,1020.1077880859375,46.45,43.23,1019.2938442667017,32.81482458952814,33.47829404135196,38.08651865415427,,0.0,0.0,0.0,31.185,11097,4330,6767,40305,22130,65535,65535,65535,65535
1776281225.0228631,mission5,Idle,0,0,GUIDED,26.8066707,-80.2735301,0.5577428,179.21685182259498,-0.7240821115715448,-0.8455652688054199,0.08552602876536548,0.08556215340793133,,15,16.386,0.0,100,,,,,,1020.842529296875,1020.1077880859375,46.45,43.23,1019.2938442667017,32.81482458952814,33.47829404135196,38.08651865415427,,0.0,0.0,0.0,31.185,11127,4349,6778,40305,22130,65535,65535,65535,65535
1776281225.377679,mission5,Takeoff,0,0,GUIDED,26.8066707,-80.2735304,0.60367456,179.21633272811005,-0.7185077689146061,-0.8461101899485076,0.08607299002014102,0.08611569793090225,,16,16.384,0.01,100,,,,,,1020.82763671875,1020.0859985351562,46.45,43.25,1019.2257741683787,32.84716023155488,33.49164568551156,38.03006027313649,,0.0,0.0,0.0,31.205,11127,4349,6778,43003,23407,65535,65535,65535,65535
1776281225.4013479,mission5,Takeoff,0,0,GUIDED,26.8066707,-80.2735304,0.60367456,179.2165103130654,-0.71807474550331,-0.8473576068660518,0.08607299002014102,0.08611569793090225,,16,16.384,0.01,100,,,,,,1020.82763671875,1020.0859985351562,46.45,43.25,1019.2257741683787,32.84716023155488,33.49164568551156,38.03006027313649,,0.0,0.0,0.0,31.19,11127,4349,6778,43003,23407,65535,65535,65535,65535
